scenario,variant,run,router_power,ed_power,log_path,active_parent_router_id,active_parent_tx_power,standby_router_tx_power,output_power_dbm,attach_count,detach_count,detach_to_child_windows,detach_to_child_median_ms,detach_to_child_max_ms,initial_attach_ms,standby_yes,standby_no,diag_lines,callback_registered,preferred_requests,generic_requests,parent_response_security_warnings,preferred_success,preferred_miss,preferred_timeout,final_state,final_outcome,final_failovers,standby_discovered,targeted_attach_requested,targeted_outcome_success,targeted_outcome_miss,targeted_outcome_timeout,generic_fallback_used,failover_trigger_to_stable_child_ms,final_parent_after_recovery,natural_parent_switch
uplink-only,A,002,8dB,-4dB,artifacts/milestone-8/uplink-only/A/run-002-router-8dB-ed--4dB.log,,,,-4dBm,1,0,0,,,629,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
uplink-only,A,003,8dB,-4dB,artifacts/milestone-8/uplink-only/A/run-003-router-8dB-ed--4dB.log,,,,-4dBm,1,0,0,,,621,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
uplink-only,A,004,8dB,-4dB,artifacts/milestone-8/uplink-only/A/run-004-router-8dB-ed--4dB.log,,,,-4dBm,1,0,0,,,629,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
uplink-only,B,001,8dB,-4dB,artifacts/milestone-8/uplink-only/B/run-001-router-8dB-ed--4dB.log,,,,-4dBm,5,4,4,1321,1547,640,31,17,48,1,1,2,1,0,1,0,3,miss,3,yes,0,0,0,0,2,1558,0xe000,no
uplink-only,B,002,8dB,-4dB,artifacts/milestone-8/uplink-only/B/run-002-router-8dB-ed--4dB.log,,,,-4dBm,4,3,3,1707,6169,595,22,11,33,1,1,1,2,0,1,0,3,miss,2,yes,0,0,0,0,1,6180,0xe000,no
uplink-only,B,003,8dB,-4dB,artifacts/milestone-8/uplink-only/B/run-003-router-8dB-ed--4dB.log,,,,-4dBm,4,3,3,1509,1536,595,19,15,34,1,1,1,0,0,1,0,3,miss,2,yes,0,0,0,0,1,1520,0xe000,no
uplink-only,B,004,8dB,-4dB,artifacts/milestone-8/uplink-only/B/run-004-router-8dB-ed--4dB.log,,,,-4dBm,4,3,3,1494,2816,630,19,13,32,1,1,1,0,0,1,0,8,miss,2,yes,0,0,0,0,1,2827,0xe000,no
uplink-only-postfix,B,001,8dB,-4dB,artifacts/milestone-8/uplink-only-postfix/B/run-001-router-8dB-ed--4dB.log,,,,-4dBm,3,2,2,3894,6586,624,19,14,33,1,0,1,0,0,1,0,3,miss,2,yes,0,0,0,0,1,6597,0xe000,no
uplink-only-postfix,B,002,8dB,-4dB,artifacts/milestone-8/uplink-only-postfix/B/run-002-router-8dB-ed--4dB.log,,,,-4dBm,2,1,1,5631,5631,594,10,19,29,1,0,1,0,0,0,0,3,none,1,yes,0,0,0,0,1,5642,0xe000,no
uplink-only-postfix,B,003,8dB,-4dB,artifacts/milestone-8/uplink-only-postfix/B/run-003-router-8dB-ed--4dB.log,,,,-4dBm,3,2,2,1183,1310,622,18,16,34,1,0,1,3,0,1,0,2,miss,2,yes,0,0,0,0,1,1321,0xe000,no
